Date,State,Total,Category,Sales
2022-10-23,Connecticut,84847909.19999999,Beverages,84847909.19999999
2022-10-24,Connecticut,84474530.61428571,,84474530.61428571
2022-10-25,Connecticut,84101152.02857143,,84101152.02857143
2022-10-26,Connecticut,83727773.44285715,,83727773.44285715
2022-10-27,Connecticut,83354394.85714285,,83354394.85714285
2022-10-28,Connecticut,82981016.27142857,,82981016.27142857
2022-10-29,Connecticut,82607637.68571429,,82607637.68571429
2022-10-30,Connecticut,82234259.10000001,Beverages,82234259.10000001
2022-10-31,Connecticut,82790780.13000001,,82790780.13000001
2022-11-01,Connecticut,83347301.16000001,,83347301.16000001
2022-11-02,Connecticut,83903822.19,,83903822.19
2022-11-03,Connecticut,84460343.22,,84460343.22
2022-11-04,Connecticut,85016864.25,,85016864.25
2022-11-05,Connecticut,85573385.28,,85573385.28
2022-11-06,Connecticut,86129906.31,,86129906.31
2022-11-07,Connecticut,86686427.33999999,,86686427.33999999
2022-11-08,Connecticut,87242948.36999999,,87242948.36999999
2022-11-09,Connecticut,87799469.39999999,Beverages,87799469.39999999
2022-11-10,Connecticut,87027660.96666667,,87027660.96666667
2022-11-11,Connecticut,86255852.53333333,,86255852.53333333
2022-11-12,Connecticut,85484044.10000001,Beverages,85484044.10000001
2022-11-13,Connecticut,84784922.2,Beverages,84784922.2
2022-11-14,Connecticut,85184904.14285715,,85184904.14285715
2022-11-15,Connecticut,85584886.0857143,,85584886.0857143
2022-11-16,Connecticut,85984868.02857144,,85984868.02857144
2022-11-17,Connecticut,86384849.97142857,,86384849.97142857
2022-11-18,Connecticut,86784831.91428572,,86784831.91428572
2022-11-19,Connecticut,87184813.85714287,,87184813.85714287
2022-11-20,Connecticut,87584795.80000001,Beverages,87584795.80000001
2022-11-21,Connecticut,87801165.82857144,,87801165.82857144
2022-11-22,Connecticut,88017535.85714287,,88017535.85714287
2022-11-23,Connecticut,88233905.88571429,,88233905.88571429
2022-11-24,Connecticut,88450275.91428572,,88450275.91428572
2022-11-25,Connecticut,88666645.94285715,,88666645.94285715
2022-11-26,Connecticut,88883015.97142857,,88883015.97142857
2022-11-27,Connecticut,89099386.0,Beverages,89099386.0
2022-11-28,Connecticut,89682026.8888889,,89682026.8888889
2022-11-29,Connecticut,90264667.77777778,,90264667.77777778
2022-11-30,Connecticut,90847308.66666667,,90847308.66666667
2022-12-01,Connecticut,91429949.55555555,,91429949.55555555
2022-12-02,Connecticut,92012590.44444445,,92012590.44444445
2022-12-03,Connecticut,92595231.33333333,,92595231.33333333
2022-12-04,Connecticut,93177872.22222222,,93177872.22222222
2022-12-05,Connecticut,93760513.1111111,,93760513.1111111
2022-12-06,Connecticut,94343154.0,Beverages,94343154.0
2022-12-07,Connecticut,93808480.75,,93808480.75
2022-12-08,Connecticut,93273807.5,,93273807.5
2022-12-09,Connecticut,92739134.25,,92739134.25
2022-12-10,Connecticut,92204461.0,,92204461.0
2022-12-11,Connecticut,91669787.75,,91669787.75
2022-12-12,Connecticut,91135114.5,,91135114.5
2022-12-13,Connecticut,90600441.25000001,,90600441.25000001
2022-12-14,Connecticut,90065768.00000001,,90065768.00000001
2022-12-15,Connecticut,89531094.75000001,,89531094.75000001
2022-12-16,Connecticut,88996421.50000001,,88996421.50000001
2022-12-17,Connecticut,88461748.25000001,,88461748.25000001
2022-12-18,Connecticut,87927075.00000001,Beverages,87927075.00000001
2022-12-19,Connecticut,88817593.11428572,,88817593.11428572
2022-12-20,Connecticut,89708111.22857144,,89708111.22857144
2022-12-21,Connecticut,90598629.34285715,,90598629.34285715
2022-12-22,Connecticut,91489147.45714286,,91489147.45714286
2022-12-23,Connecticut,92379665.57142857,,92379665.57142857
2022-12-24,Connecticut,93270183.68571429,,93270183.68571429
2022-12-25,Connecticut,94160701.8,Beverages,94160701.8
2022-12-26,Connecticut,92344039.47142857,,92344039.47142857
2022-12-27,Connecticut,90527377.14285713,,90527377.14285713
2022-12-28,Connecticut,88710714.81428571,,88710714.81428571
2022-12-29,Connecticut,86894052.48571429,,86894052.48571429
2022-12-30,Connecticut,85077390.15714286,,85077390.15714286
2022-12-31,Connecticut,83260727.82857142,,83260727.82857142
2023-01-01,Connecticut,81444065.5,Beverages,81444065.5
2023-01-02,Connecticut,81436552.14285713,,81436552.14285713
2023-01-03,Connecticut,81429038.78571428,,81429038.78571428
2023-01-04,Connecticut,81421525.42857143,,81421525.42857143
2023-01-05,Connecticut,81414012.07142857,,81414012.07142857
2023-01-06,Connecticut,81406498.7142857,,81406498.7142857
2023-01-07,Connecticut,81398985.35714285,,81398985.35714285
2023-01-08,Connecticut,81391472.0,,81391472.0
2023-01-09,Connecticut,81383958.64285713,,81383958.64285713
2023-01-10,Connecticut,81376445.28571427,,81376445.28571427
2023-01-11,Connecticut,81368931.92857142,,81368931.92857142
2023-01-12,Connecticut,81361418.57142857,,81361418.57142857
2023-01-13,Connecticut,81353905.2142857,,81353905.2142857
2023-01-14,Connecticut,81346391.85714284,,81346391.85714284
2023-01-15,Connecticut,81338878.49999999,Beverages,81338878.49999999
2023-01-16,Connecticut,81173400.94285713,,81173400.94285713
2023-01-17,Connecticut,81007923.38571428,,81007923.38571428
2023-01-18,Connecticut,80842445.82857142,,80842445.82857142
2023-01-19,Connecticut,80676968.27142857,,80676968.27142857
2023-01-20,Connecticut,80511490.71428572,,80511490.71428572
2023-01-21,Connecticut,80346013.15714286,,80346013.15714286
2023-01-22,Connecticut,80180535.60000001,Beverages,80180535.60000001
2023-01-23,Connecticut,80369575.92857143,,80369575.92857143
2023-01-24,Connecticut,80558616.25714287,,80558616.25714287
2023-01-25,Connecticut,80747656.5857143,,80747656.5857143
2023-01-26,Connecticut,80936696.91428572,,80936696.91428572
2023-01-27,Connecticut,81125737.24285714,,81125737.24285714
2023-01-28,Connecticut,81314777.57142858,,81314777.57142858
